,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
14650,1056696,MANHATTAN ASSOCIATES INC,10/18/2016,gaap,perform,non,share,measur,cost,compens,adjust,acquisit,incom
14656,1062047,CONVERGYS CORP,11/8/2016,commiss,novemb,item,conditionon,form,report,press,exhibit,releas,septemb
14676,1078075,NETSCOUT SYSTEMS INC,10/27/2016,hold,compani,exhibit,expressli,file,octob,herebi,topic,intent,futur
14696,1111928,IPG PHOTONICS CORP,10/27/2016,corpor,act,exhibit,file,forth,conditionon,specif,text,form,item
14714,1169561,COMMVAULT SYSTEMS INC,10/25/2016,exhibit,octob,press,releas,item,conditionon,pursuant,septemb,section,act
14800,1262039,FORTINET INC,10/11/2016,preliminari,releas,act,file,exhibit,exchang,refer,press,octob,septemb
14801,1262039,FORTINET INC,10/27/2016,press,exchang,exhibit,file,septemb,releas,refer,act,octob,secur
14808,1265888,NEUSTAR INC,10/27/2016,incorpor,call,releas,octob,replay,today,press,broadcast,exhibit,act
14839,1280452,MONOLITHIC POWER SYSTEMS INC,10/31/2016,septemb,exhibit,announc,mp,act,index,press,result,releas,end
14870,23082,COMPUTER SCIENCES CORP,11/3/2016,intent,offic,risk,statement,factor,file,subsequ,thursday,compani,pm
14900,2488,ADVANCED MICRO DEVICES INC,10/20/2016,measur,financi,gaap,expens,septemb,supplement,loss,non,compani,commentari
14928,310568,MICROSEMI CORP,11/10/2016,quarter,corpor,exhibit,year,result,attach,copi,press,releas,item
14936,701811,MENTOR GRAPHICS CORP,11/22/2016,commiss,announc,novemb,year,result,compani,secur,date,exchang,quarter
14962,703361,INTEGRATED DEVICE TECHNOLOGY INC,10/31/2016,press,measur,releas,octob,exhibit,regul,gaap,financi,dissemin,publicli
14982,70866,NCR CORP,10/25/2016,outlook,octob,quarter,post,year,websit,herebi,copi,materi,compani
15005,714603,DST SYSTEMS INC,10/20/2016,conditionse,act,septemb,news,octob,file,exhibit,refer,concern,date
15023,733269,ACXIOM CORP,11/7/2016,broadcast,ct,internet,parti,today,invit,interest,www,com,confer
15049,749251,GARTNER INC,11/3/2016,form,septemb,file,exhibit,financi,respect,instruct,exchang,month,act
15057,7536,ARROW ELECTRONICS INC,11/3/2016,exhibit,releas,act,file,registr,cfo,press,commentari,novemb,exchang
15097,772406,CIRRUS LOGIC INC,10/27/2016,press,month,text,year,form,octob,compani,quarter,report,condit
15107,790703,TECH DATA CORP,11/22/2016,gaap,non,incom,octob,acquisit,month,impact,dilut,measur,tax
15143,797721,VIASAT INC,11/8/2016,press,file,exhibit,section,novemb,specif,descript,issu,hereof,languag
15155,813672,CADENCE DESIGN SYSTEMS INC,10/24/2016,result,releas,chief,exhibitsexhibit,octob,end,press,cfo,commentari,quarter
15187,814547,FAIR ISAAC CORP,11/7/2016,exhibit,financi,condit,statement,item,result,,,,
15197,851205,COGNEX CORP,10/31/2016,octob,news,languag,act,hereto,file,report,secur,attach,corpor
15222,860731,TYLER TECHNOLOGIES INC,10/27/2016,octob,number,septemb,exhibit,condit,issu,releas,news,financi,result
15230,877212,ZEBRA TECHNOLOGIES CORP,11/1/2016,tax,error,entiti,month,end,form,review,impact,disclos,complet
15231,877212,ZEBRA TECHNOLOGIES CORP,11/15/2016,octob,descript,file,act,exhibit,exchang,novemb,posit,refer,contain
15256,883241,SYNOPSYS INC,11/30/2016,bank,tax,gaap,measur,non,rate,busi,restructur,core,mix
15275,8858,AVNET INC,10/27/2016,materi,currenc,sale,forth,reconcili,definit,form,press,gaap,exhibit
15291,895419,CREE INC,10/18/2016,item,exhibit,compani,furthermor,octob,releas,press,septemb,section,act
15359,898293,JABIL CIRCUIT INC,12/15/2016,regardless,decemb,report,herewith,exhibit,file,exchang,act,novemb,press
15373,910638,3D SYSTEMS CORP,11/3/2016,sec,herewith,compani,call,webcast,exhibit,slide,press,plan,item
15384,935494,NATIONAL INSTRUMENTS CORP,10/27/2016,regard,incorpor,exhibit,septemb,text,section,date,registr,octob,press
15431,936395,CIENA CORP,12/8/2016,octob,investor,call,com,discuss,www,websit,decemb,end,time
