,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,CIK,Company Name,Date Filed
7805,-0.04755795808824048,0.00020097405217428397,0.03988643075201589,0.0014341445723948256,4.482547800147258e-05,0.0007064097786867936,-0.0002753709224415354,-0.0024594123791479043,-0.057288420088115605,0.012146280844496876,0.0008216224242394806,-0.0007983548294463321,-0.0004005878813264054,0.0006459989144238194,0.15114157739540401,0.0010904185136404176,0.006242358529241528,-0.06151968651556343,-0.011094139306187282,-0.001151340792071219,-0.0003626397726436191,-0.0009871909801697427,-3.8601254558012316e-05,-0.0010666163875096477,0.0768306965671246,0.00022533258257275714,0.00020508468063776942,0.011874292253987333,0.024321531240902958,0.020848509599810407,895419,CREE INC,1/22/2013
7827,-0.06346227349916468,0.00010306111137911202,0.0327089252575849,0.002780493039409931,-2.6292129994379727e-05,0.0010477681561679528,-0.002173027373518968,-0.001366468882631005,-0.04591536474396778,-0.0008295295540238664,0.0010964489941305596,-0.0010666213337742808,0.0003366040054043955,0.00025976584379728445,-0.002579821098643357,-0.01651420635210538,0.0033725592032656957,3.59985577353308e-05,-0.059505020885631456,-6.121418068690341e-05,0.0003050241950442349,0.0024108338998483875,9.426870274800508e-05,-0.0013237196585904663,0.07135615468458381,0.00029558617367511197,0.0002229918224845146,-0.0440955978090741,0.0942507273085664,-0.0007614502753587742,898293,JABIL CIRCUIT INC,3/20/2013
7863,-0.031021663827644635,-0.00048153809436381065,0.027643585399378025,-0.009153335503785595,4.670947246676017e-05,0.0014659636844848866,0.10000772351929076,0.005846226781022542,-0.04052062403154138,0.010293885986699988,0.0005365102178803662,-0.0005205738891064127,-0.013613787008651209,-0.0010526502446734233,0.006814929780865425,0.0007112710032426136,0.012065427402281684,-0.05491852182628942,-0.07833610850161535,-0.00019139048458531897,-0.0003317965864070657,-0.029068348537189717,-0.0011366338874694234,0.03534141941710628,0.04321644440294393,9.819625325186287e-05,3.149304326610259e-05,-0.048381933610654515,0.0058919699859933195,-0.015077538896561177,910638,3D SYSTEMS CORP,2/25/2013
7907,-0.039736997598245845,0.00031826133418927046,0.03277482313723873,0.0012136237577922268,-6.802703464399602e-06,-0.003851223317650744,0.0002811648900068701,0.009452219509120967,-0.05060643409237516,0.01779014421764707,0.0009099799611196781,-0.0006644348482855752,-0.0053147588216512455,0.0009211900751720986,0.11616810495365519,-0.01729452832074212,0.008974350999993901,7.517398412136406e-05,0.005976895979418382,-0.009272577350096737,-0.00018136921895418436,-0.017659957965923154,-0.0006905416951937533,0.14100790763940677,0.05187519264531023,-0.018849161370515174,-0.05507397720413655,0.002550894459950823,0.024844826288841455,0.12358071768557106,936395,CIENA CORP,3/7/2013
7942,-0.050385527449931994,-0.0003421464145719874,0.04345579991710281,0.0011514557299052463,3.2443847759661314e-05,-0.0006087332276273152,-0.00017064544991393952,0.011761835820329301,-0.04727612447823724,0.0132110173482079,0.0008696989610691199,-0.0008439413594201861,0.0017613348963163805,-0.0007985282193941054,-0.00022376853807212877,-0.09605017537270609,-5.864295212720749e-05,2.1464430738923414e-05,0.0003750772498548455,-0.008670799411177262,-0.00033319175178414306,-0.013525698961794078,-0.0005288834270036401,-0.003626875548534399,0.013823213857029174,0.000304598704104988,-0.004327366375756592,-0.019826070462500303,0.036989671001170725,0.05841879770107142,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,5/1/2013
7943,-0.028850990647284268,-0.0010071578635363287,0.04116016435270533,-0.00069102337746437,6.420250735110222e-05,-8.733862181964387e-05,0.03489842010781121,0.14384569627868818,-0.028858901561263438,0.005845177205494753,0.0004981425561698019,-0.00048178038965256766,-0.008659283977362396,-0.0023185805775789146,-0.00012813092024273673,-0.05718905930816827,0.020377722312811868,-0.060400238792737586,0.00021477100221535634,-0.0037203660638363166,-0.0005888004238131571,-0.06429305164691965,-0.002513994255202216,-0.0021279535516737476,0.017443232885236564,0.00016173610483077654,-0.0006042958009561192,-0.015352258985116852,0.02586995503376261,0.0330849045165939,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,5/16/2013
7970,0.0015616391464901745,0.00021722415108644662,0.038696872223994684,-0.00226571002610423,-1.4392500023092075e-05,-0.0008825634079557557,-0.001661340032368578,0.2383056856343319,-0.04580698819834934,-0.0029155035271812174,-2.746885667849643e-05,2.5610876842464726e-05,-0.0013296570934346673,0.0005452609437008068,6.9354381405167735e-06,-3.58055792428894e-05,-0.0013194935941470206,0.0007442318458526513,-1.1625070649766376e-05,-0.0015986094238057808,7.503072780479669e-05,0.008430656466145953,0.00032965649289552437,0.00022697230998906202,0.0738945740609137,3.431024832736836e-05,-0.0020013936697156447,-0.00875525781981878,-0.005677266551588792,-0.01079477599532735,1013462,ANSYS INC,5/2/2013
8002,-0.004743511840600296,-0.00044216459559605554,0.045878452590132277,0.0002468721930524912,2.497781357095588e-05,0.0020158985610511737,0.21850986296525274,-0.0004555360902795372,-0.029809154770621973,0.11324938325069295,8.305840997808062e-05,-7.817018561600051e-05,0.008804634243296186,-0.0010769211203795095,-2.1066539612068565e-05,-0.010514874831856634,-0.0020657522681268724,-5.3624456981856755e-05,3.53113972577587e-05,-0.002673842013995196,-9.963868429125541e-05,-0.01204216822203475,-0.0004708742384267353,0.00010304486629254468,0.00611797427546994,-7.194687210986603e-05,0.00037535818530150364,-0.005967802644728313,0.002385175452960076,-0.0027430092162394537,1032220,MAXIMUS INC,5/10/2013
8012,-0.0017916146123951684,0.001400339280798032,0.0018628085472046892,-0.000802038235800201,0.2418246017253221,-0.0006972039842100883,0.001763120778189021,0.0008513682769014536,-0.002938877405066145,0.003274684527648691,3.053996929418276e-05,-3.007762927793403e-05,-0.0008762005184447609,-0.003499066368596433,-7.956788444910317e-06,-0.006054994610383922,0.0007084561689455369,-0.016880576411832212,1.3337041718669981e-05,-0.001484540119566321,-0.0032355761225598125,-0.002744980170422519,-0.00010733452841815514,-8.781844351228959e-05,0.0014221659531096862,4.3619191070548655e-05,-0.0025651965030542598,-0.0022676357494048364,0.0007699048580217468,0.0005908934558288886,103730,VISHAY INTERTECHNOLOGY INC,4/30/2013
8036,-0.019147622265511664,0.057047396706337156,0.02088881739586435,-0.0008426235080776616,-0.0005170775713646879,0.00016635039684623885,-0.004590508912378281,0.0020096960832043527,-0.03274471458975664,-0.0017302231440190943,0.0003307315433594865,-0.0003217293833948806,-0.0010859480809969893,-0.14702078701346408,-8.50370266773236e-05,-0.04704903307452526,0.057595971657981096,-0.011229762557516877,0.00014253770604553257,-0.0022564062655384414,0.004708201238772808,-0.018051381559168054,0.0028283152953368844,-0.0004324252542162627,0.0228212182738706,9.64527664955648e-05,0.0019932428017146093,-0.0019742235111192543,0.039017982974992566,0.004342496009568153,1038074,SILICON LABORATORIES INC,4/24/2013
