,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
6335,52827,RAYONIER INC,2016-08-03,financi,item,oper,statement,result,condit,exhibit,,,
6353,67215,DYCOM INDUSTRIES INC,2016-08-24,gaap,non,compani,purport,recogn,adjust,measur,contract,term,forward
6354,67215,DYCOM INDUSTRIES INC,2016-08-24,non,compani,recogn,gaap,adjust,measur,purport,term,contract,forward
6373,70145,NATIONAL FUEL GAS CO,2016-08-05,compani,chang,ga,natur,obtain,cost,oil,project,rate,plan
6389,701811,MENTOR GRAPHICS CORP,2016-08-18,third,outlook,mentor,full,august,fiscal,second,graphic,year,compani
6399,706688,AARON'S INC,2016-07-29,releas,paragraph,juli,press,herein,aaron,exhibit,referenc,well,financi
6412,720672,STIFEL FINANCIAL CORP,2016-08-02,stifel,confer,call,referenc,listen,august,broadcast,live,web,exhibit
6425,73088,NORTHWESTERN CORP,2016-07-22,found,concern,assumpt,rang,guidanc,northwestern,reaffirm,shall,nwe,nyse
6429,73756,OCEANEERING INTERNATIONAL INC,2016-07-21,unless,identifi,refer,incorpor,second,act,june,secur,therein,amend
6446,74303,OLIN CORP,2016-07-22,juli,guidanc,year,end,updat,second,full,olin,june,decemb
6450,74303,OLIN CORP,2016-08-02,instruct,exhibit,amend,august,olin,preliminari,press,shall,releas,financi
6470,7536,ARROW ELECTRONICS INC,2016-08-02,august,cfo,commentari,second,press,hereto,releas,act,earn,exhibit
6506,799729,PAREXEL INTERNATIONAL CORP,2016-08-03,full,august,connect,act,exchang,exhibit,file,parexel,financi,intern
6516,861361,B/E AEROSPACE INC,2016-07-26,aerospac,act,exchang,shall,herebi,includ,refer,file,deem,secur
6524,861459,GRANITE CONSTRUCTION INC,2016-07-29,measur,financi,gaap,ebitda,compani,provid,non,method,use,similar
6534,887936,FTI CONSULTING INC,2016-07-29,gaap,adjust,segment,consult,fti,charg,loss,measur,incom,ebitda
6535,887936,FTI CONSULTING INC,2016-08-02,segment,consult,adjust,gaap,fti,charg,measur,loss,incom,ebitda
6543,903127,POST PROPERTIES INC,2016-08-02,quarterli,data,supplement,financi,entireti,earn,post,period,june,exhibit
6569,910521,DECKERS OUTDOOR CORP,2016-07-28,act,juli,exhibit,outdoor,shall,decker,exchang,financi,file,hereto
6582,910606,REGENCY CENTERS CORP,2016-08-03,august,june,six,regenc,three,month,regencycent,websit,post,com
6598,921112,LIBERTY PROPERTY TRUST,2016-07-26,exhibit,juli,registr,transact,none,shell,financi,pro,forma,current
6639,936395,CIENA CORP,2016-09-01,septemb,com,websit,juli,discuss,call,ciena,investor,third,corpor
6646,936528,WASHINGTON FEDERAL INC,2016-07-14,fact,sheet,applic,june,detail,juli,exhibit,compani,financi,certain
6661,945394,HOSPITALITY PROPERTIES TRUST,2016-08-09,supplement,six,data,august,financi,hospit,oper,june,month,compani
6674,945764,DENBURY RESOURCES INC,2016-08-04,denburi,august,act,exhibit,exhibitsitem,resourc,secur,file,unless,financi
6684,945841,POOL CORP,2016-07-21,earn,extent,corpor,second,pool,guidanc,delawar,juli,rais,press
