,CIK,Company Name,Form Type,Date Filed,Filename
14425,1038074,SILICON LABORATORIES INC,4,3/18/2015,edgar/data/1038074/0001576021-15-000014.txt
14426,1038074,SILICON LABORATORIES INC,4,3/20/2015,edgar/data/1038074/0001576021-15-000015.txt
14427,1038074,SILICON LABORATORIES INC,4,3/23/2015,edgar/data/1038074/0001418215-15-000002.txt
14428,1038074,SILICON LABORATORIES INC,8-K,1/8/2015,edgar/data/1038074/0001104659-15-001143.txt
14429,1038074,SILICON LABORATORIES INC,8-K,1/30/2015,edgar/data/1038074/0001104659-15-005593.txt
14430,1038074,SILICON LABORATORIES INC,8-K,2/4/2015,edgar/data/1038074/0001104659-15-006485.txt
14431,1038074,SILICON LABORATORIES INC,8-K,2/4/2015,edgar/data/1038074/0001104659-15-006535.txt
14432,1038074,SILICON LABORATORIES INC,DEF 14A,3/9/2015,edgar/data/1038074/0001571049-15-001777.txt
14433,1038074,SILICON LABORATORIES INC,DEFA14A,3/9/2015,edgar/data/1038074/0001571049-15-001778.txt
14434,1038074,SILICON LABORATORIES INC,SC 13G/A,1/23/2015,edgar/data/1038074/0001086364-15-000781.txt
14435,1038074,SILICON LABORATORIES INC,SC 13G/A,2/11/2015,edgar/data/1038074/0000932471-15-004651.txt
14436,1038074,SILICON LABORATORIES INC,SC 13G/A,2/13/2015,edgar/data/1038074/0000315066-15-002277.txt
14437,1038074,SILICON LABORATORIES INC,SC 13G/A,2/17/2015,edgar/data/1038074/0000902664-15-000997.txt
21457,1056696,MANHATTAN ASSOCIATES INC,10-K,2/5/2015,edgar/data/1056696/0001564590-15-000520.txt
21458,1056696,MANHATTAN ASSOCIATES INC,4,1/27/2015,edgar/data/1056696/0001209191-15-006756.txt
21459,1056696,MANHATTAN ASSOCIATES INC,4,1/27/2015,edgar/data/1056696/0001209191-15-006757.txt
21460,1056696,MANHATTAN ASSOCIATES INC,4,1/27/2015,edgar/data/1056696/0001209191-15-006759.txt
21461,1056696,MANHATTAN ASSOCIATES INC,4,1/27/2015,edgar/data/1056696/0001209191-15-006760.txt
21462,1056696,MANHATTAN ASSOCIATES INC,4,1/27/2015,edgar/data/1056696/0001209191-15-006763.txt
21463,1056696,MANHATTAN ASSOCIATES INC,4,1/28/2015,edgar/data/1056696/0001209191-15-007321.txt
21464,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007334.txt
21465,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007335.txt
21466,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007336.txt
21467,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007475.txt
21468,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007476.txt
21469,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007477.txt
21470,1056696,MANHATTAN ASSOCIATES INC,4,1/29/2015,edgar/data/1056696/0001209191-15-007478.txt
