,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,CIK,Company Name,Date Filed
787,-0.0206238130322106,-0.037665568834304476,0.0007059746397930125,0.02999218701672067,0.006006587224742344,-0.036319057913806276,-2.271767746292453e-05,-0.00040593861048909347,0.0017930100347328633,-0.1331256000823844,0.006046473020418859,0.01728416777950482,-0.013352812299040706,-0.0037386745199025372,6.29597775956472e-06,0.0020338411742188618,-3.8600205954106904e-06,-2.9632302441166444e-05,-0.024762846507351586,-0.011132803376659839,0.08537234135020166,0.017614085078436446,-0.0013682237462755138,-0.02248591489744308,0.0005998483133226447,-1.224317865899572e-06,0.017399173560681967,0.006328272255091231,0.00019059572779006842,0.0002150840253613979,706688,AARON'S INC,2015-02-06
843,-0.027050992462418627,-0.0004244170571891961,0.05141665402067373,-8.658422614681834e-05,-0.001329381807753742,-0.0007864534221582149,0.3520894338675484,0.00011025658354263034,0.00015894559497050463,-0.015985597353954783,0.029999952292052982,-0.0018429424870328188,0.011015536301074316,-0.0006482607730542107,-0.002464331041265223,0.00022106128308884305,-2.3872634931365824e-06,3.163437054996605e-08,-0.0855269392197475,-0.03436985500330399,-6.0061102136963024e-05,-0.001126839115543003,0.0004221797226688958,0.0,0.005562139777991314,-1.647898995452905e-05,0.03486293986320738,0.0,-5.881030183793082e-05,0.0007328130139900817,720672,STIFEL FINANCIAL CORP,2015-02-23
880,-0.04503756027020102,-0.003901409895062234,0.07569643941933432,-0.00022128953367044974,0.00023995556911935923,-0.051284297778576515,-9.800044302985057e-05,0.04918950264022496,0.007734759772320838,-0.032994433871281245,0.0025693272997176163,0.10665031959726215,-0.006707321575713563,0.0008276991566212074,0.016446234782983436,-0.002209781737250615,0.042422841845701574,-0.0010916157062519595,-0.07785412818413139,-0.03296887102296328,0.002389904664887948,-0.00013938024162101842,0.0007381667232995994,0.0,0.013511308235105221,-5.281512314070562e-06,-0.000266133827563212,0.0,-0.00010282778985577316,3.426133167812434e-05,73088,NORTHWESTERN CORP,2015-02-12
921,-0.06917688286099544,0.00010886169904921672,0.09886543160314565,2.261612161085599e-06,-0.00020067821638385962,-0.000357340645763203,1.9565266564113585e-07,0.06042320365430216,-1.5442035982301054e-05,0.00014466776538399136,0.0005748429356129014,0.04892603440788228,-0.01647279612077385,0.0010983078832005545,-0.01236935111344882,-0.0024722420180092815,-0.0010210500680556535,4.5326021769733415e-05,-0.14925171104209248,-0.039160439174985864,0.0005994349341076768,-0.00011508405181637584,0.0011661953986915326,0.0,0.02465574915712732,1.0544258075952137e-08,-0.0003742871392291839,0.0,-0.0001624528600414188,0.0025584469062361072,73756,OCEANEERING INTERNATIONAL INC,2015-02-11
956,-0.0891478693269715,0.00033268914854669735,0.08280698431916635,-0.0003955489432639735,0.000555119376262405,-0.00016087900166683803,3.4668681553466867e-07,-0.003100574484974024,-2.7362521550793225e-05,-0.07936790776519455,0.00349394407965511,0.07171358834500888,0.018233461640670884,-0.000808417159573066,0.0021405310501895316,0.0014593463367162823,3.864291028585357e-05,7.221448735770702e-05,-0.23923140911201254,-0.05828858028551957,-0.0003615216142280211,-3.625080002983874e-05,0.001418619938592643,0.0,0.02162091373647463,1.8683902120876504e-08,-0.00011672591019539107,0.0,-0.00019761599693733206,-0.0024750229878533776,74303,OLIN CORP,2015-02-06
1056,-0.10326281343738021,-0.0006949436411934905,0.06919215249042729,-1.3148661460967681e-05,0.0027397014856323106,-0.0008081920235639006,3.3492041021434847e-09,0.06718133085674759,-2.643384902929541e-07,-0.0006679324904951667,0.002181202162470527,0.041807157273840385,0.020000157221935405,-0.002685024175615417,0.001924145177766795,-0.001994958395155371,-0.0010826116990801508,3.979277494945839e-05,-0.20425488604875527,-0.02488319523754196,0.0010325989320015005,2.5658803223901397e-05,0.0013438117001447407,0.0,-0.011038619765450676,1.8049778308061626e-10,-0.00033969643903713044,0.0,-0.00018719509122619858,-0.003201668164423235,7536,ARROW ELECTRONICS INC,2015-02-05
1074,-0.011439770002027496,-0.00046456817321598507,0.05636442083356194,0.00041003504714066914,-0.0014767315679014214,0.00013497827049200638,0.004316161251241297,-5.225710962649614e-05,-0.00027862615674462696,-0.07060661643929769,0.032689065416035064,-0.0058546623434691785,-0.05668878839273964,-6.0476945426560256e-05,-0.0012995389831907404,0.006746475757285388,1.8908782149020202e-05,4.7062268212874515e-07,-0.06394601399191154,-0.03850364152878081,0.010820908079076168,-0.0016127768541420882,0.0005957803628558607,0.0,0.052633487204465486,-1.318193633003307e-05,0.006896414858217939,0.0,-8.299314506903617e-05,7.657103049463623e-05,799729,PAREXEL INTERNATIONAL CORP,2015-01-12
1075,-0.06509387523571192,0.0001426489995286935,0.11561116605077339,-0.0001981458661238598,-0.0014462550412624336,0.00010208807398874188,8.793572780873867e-08,0.0037447487983346493,-6.940394440845659e-06,-0.03969147145709721,0.003944688077547314,0.02073112868710459,-0.06231691045738116,-0.0006564571053929186,0.019732518529222292,0.006872891662178865,-1.1672449130256573e-05,2.2079064533884302e-05,-0.018264817280023205,-0.0675373590415711,-0.0007887898327759236,-0.0005054926318458989,0.0007585380046533538,0.0,-0.01763089100603124,4.739097241908852e-09,0.00021841495008788076,0.0,-0.00010566554150728792,-0.001532220501064416,799729,PAREXEL INTERNATIONAL CORP,2015-01-29
1101,-0.06731222794753701,3.363777042801456e-05,0.13601732721006488,5.161653958661283e-06,-0.0005754345570589205,4.8165209791794434e-05,1.104924737707077e-07,-0.0028547291924255437,-8.720702834022568e-06,0.000929703240217807,0.0045347617514311855,0.008131373965429697,-0.05725097302641273,-0.0007556777402774637,-0.012898760505843243,-0.0007680920505271487,2.6170608495173972e-05,7.445032471231138e-06,-0.04186043723588968,-0.04550136936276436,0.00021230157163741248,-0.0005004825203705675,-0.008547344011027325,0.0,-0.015565165002293628,5.9547420684043136e-09,-0.00010969996216680643,0.0,0.0011906585139224684,0.0014118667518808784,861361,B/E AEROSPACE INC,2015-01-29
1119,-0.02531181507160239,-0.1395223681233579,0.028045316010011402,0.031192942196114678,0.009536245877048662,-0.01403416261518053,-6.484485021992855e-05,-0.0007115680926342618,0.005117929301304284,-0.1518058824301066,0.002220038864595362,0.02215111677347744,-0.0011781333617779286,-0.0010004738211504207,-0.006444872104298427,-0.0010445380015236233,5.0590191029190886e-06,-0.000483936764135628,-0.04280618177412126,-0.042038166169419106,0.06573785685251106,-9.455762587724242e-05,0.0003156401813699723,0.0,-0.004363433503846095,-3.494666598969315e-06,0.003925043913418915,0.0,-4.3969175547319444e-05,-0.00013788839265799677,861459,GRANITE CONSTRUCTION INC,2015-02-27
1140,-0.024645836907853123,-0.08406373069305222,0.03555704683016521,0.16946186970802032,0.001185986292364281,-0.050480334362148084,-3.0490421052159953e-05,-7.860129042496636e-05,0.002406479755642905,-0.019727127915052097,0.0004885308544646734,0.01923656186900402,-0.013504042015595833,0.0004105322842246377,-0.004993689405595527,-5.476795830713755e-06,1.2570628382947102e-05,-3.823855134639328e-06,-0.04953061231669798,-0.024722959340454653,0.17539956382327876,-9.502831196309853e-05,-0.0037836902542642856,0.0,0.00499076530461901,-1.6432123087354645e-06,0.0005408487364898079,0.0,0.0005270740255069907,0.0009177485053642973,887936,FTI CONSULTING INC,2015-02-03
1141,-0.006836364393496871,-0.05851737389197807,0.015103194601163075,0.2734155200004817,0.00553562263219542,-0.028168606181927215,-4.9563025254889725e-05,0.0006275611977260879,0.003911799600939287,-0.017126547889016092,0.0012048312548982813,0.015081387523986536,-0.0033330575512838124,-2.382684037374463e-05,0.0023828292580377105,0.00011055061522738414,-6.5603049184395355e-06,-0.00012174643555369958,-0.02261171147673673,-0.02069886513096688,0.14021131597223663,-6.64117877898573e-05,-0.001582418834952979,0.0,0.0019451807820248786,-2.671087192193171e-06,0.0011944049232109647,0.0,0.00022043344177995484,-3.8253423656609754e-05,887936,FTI CONSULTING INC,2015-02-20
1142,-0.005478631725642384,-0.05856522529038226,0.014589122708210752,0.2731170657156411,0.005466657704495666,-0.028141679427673146,0.007443315536914682,-3.605854623831228e-05,0.005113700966562524,-0.016853385270594146,0.000385065444441095,0.013977093342327003,-0.0005836204048880494,0.0001502778673823352,0.00033322135518199495,0.0006493536435298041,4.553972259295964e-06,-0.0001225019518857571,-0.024433581298652467,-0.020054677973594465,0.14020605272596823,-1.852635894119107e-05,-0.0015987278046482774,0.0,0.0020316323138643887,0.00023560751306509682,0.0012020881502680112,0.0,0.00022270530700451555,0.0003943008602362557,887936,FTI CONSULTING INC,2015-02-24
1178,-0.03822801949940264,0.00011720552231956599,0.009726861376457417,4.067121511926083e-06,0.279688600416197,-0.0007304162356462579,5.465114537641315e-07,0.059933138696639736,-4.313383365419903e-05,0.0004794228930632704,0.010848618375682614,0.0694117098405092,0.014277620962496752,-0.001993363832183583,-0.01152392457201978,-0.0032335131311564042,-0.0009987828072631458,6.433104152693572e-05,-0.07152505739664361,-0.05753226755475729,-1.9929345512125094e-05,-0.00034980298839871695,-0.004680127337281925,0.0,0.0010422313675015266,2.9452999227326728e-08,-0.0005045610416098473,0.0,0.0006519491263235408,-0.0015772870897042188,903127,POST PROPERTIES INC,2015-02-06
1206,-0.06478756606479351,0.00023705927078918117,0.07026469579830653,-0.0005918345871125336,-0.0019647794942036934,-0.040989628343972705,0.014668924572259824,-0.0028120207929008454,0.00220318881941255,-0.11802547598395288,0.035120786889206036,0.015437747567721302,0.004126840795477603,4.781415228625861e-05,0.0011507593021942931,0.002045615406391806,3.586653228142633e-05,2.2942857120860105e-05,-0.016213905410233053,-0.04915298923508891,-0.0013929213094381683,-0.0013683238362710759,0.0009697136098357261,0.0,0.008330708166199286,0.0004665235544994966,-0.00020302876053378196,0.0,-0.00013508263667962793,-0.0006621877255328818,910521,DECKERS OUTDOOR CORP,2015-01-29
1235,-0.07804061539291539,0.0003134396295995369,0.020517133418406365,-0.00019506400851837015,-0.006980149722835642,0.00034006093659294404,6.437553005407668e-06,0.0018068935548506112,-0.0005080887848970601,-0.039556981957937984,0.12164111097440387,0.059869282254573025,-0.02588435166832805,0.0014152371331824017,0.0036639668855515703,0.0014862960886031541,-3.334492216691033e-05,5.822952903338884e-05,-0.04203198257617302,-0.07405062143985061,0.0007525100385353316,-0.004964345552725225,0.001047432056717152,0.0,-0.004504245661262517,3.4693736496871037e-07,6.69240625366306e-05,0.0,-0.00014590893901972508,0.0017629345227767556,910606,REGENCY CENTERS CORP,2015-01-14
1239,-0.02126787706650346,6.7345393241778214e-06,0.001492096085883426,2.9113636055361716e-07,0.022164085642925626,-0.00041294919017432135,-2.4863476181819198e-05,-0.0001767159312172931,0.0019623688365634695,3.893845294877727e-05,0.31345872989711904,0.02058423628386011,-0.03177483020213539,-0.0018864998104597866,-0.003610698162596927,-0.0013141142501111474,2.838373394791818e-06,1.9120971306146e-05,-0.21329755492922584,-0.026097683957386354,0.0008100658288738224,-0.012596971886379626,0.0003188365305112246,0.0,0.0027959124302472643,-1.3399608365533572e-06,-0.00021846062182826042,0.0,-4.4414432028583154e-05,-0.001641054649036827,910606,REGENCY CENTERS CORP,2015-02-11
1265,-0.06526624409294482,2.851640388039091e-05,0.0058633548819924455,-0.00016535319170733677,0.0008223505279712181,-0.0015424909123450084,-1.8569051989874868e-08,0.2775677546944183,1.4655766025228072e-06,-0.03286998185660947,0.0002986480503414898,-0.0037044533883262196,-0.007723493026593746,0.0004742130134535035,0.025358903484134814,-0.0003326509707801624,-0.0046207079782720605,-1.0020926640784263e-06,-0.12926411104668972,-0.06785277008859834,-0.001151867866919472,-5.511262213588259e-05,0.0008959099748629413,0.0,-0.0013651210491552829,-1.0007370753953436e-09,-0.0003108628634882868,0.0,-0.00012480167381848643,-0.004187090957004728,921112,LIBERTY PROPERTY TRUST,2015-02-03
1316,-0.04482361072933079,-0.000923424913626554,0.028551841417367413,-3.7002967051028315e-05,0.00048353342168464556,0.00019544396959430914,0.01633148499134058,0.022822520753402183,0.3720140859726183,-0.004760697594249028,0.019421844568425918,0.033055638072286724,-0.009934684348945831,-0.005042946099663182,0.0084073694290041,0.006628050822327614,0.0047143587735938115,3.225753834342865e-05,0.0012964856619513913,-0.03275575899143749,0.0007072479562233995,-0.0008251450351543589,0.000716979104534124,0.0,0.011316411951671866,0.000667764257315797,0.012210417005264648,0.07519351006557916,-9.987632111410211e-05,0.0011864721869929435,936395,CIENA CORP,2015-03-05
