,CIK,Company Name,Form Type,Date Filed,Filename,Text
163114,355811,GENTEX CORP,8-K,2015-09-11,edgar/data/355811/0000355811-15-000047.txt,
166029,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-07-02,edgar/data/51548/0000051548-15-000026.txt,
167414,65011,MEREDITH CORP,8-K,2015-07-30,edgar/data/65011/0000065011-15-000066.txt,
167415,65011,MEREDITH CORP,8-K,2015-07-30,edgar/data/65011/0000065011-15-000069.txt,
167416,65011,MEREDITH CORP,8-K,2015-09-09,edgar/data/65011/0000065011-15-000106.txt,
168598,703351,BRINKER INTERNATIONAL INC,8-K,2015-07-28,edgar/data/703351/0000703351-15-000039.txt,
168599,703351,BRINKER INTERNATIONAL INC,8-K,2015-08-06,edgar/data/703351/0000703351-15-000041.txt,
168600,703351,BRINKER INTERNATIONAL INC,8-K,2015-08-21,edgar/data/703351/0000703351-15-000043.txt,
168601,703351,BRINKER INTERNATIONAL INC,8-K,2015-08-25,edgar/data/703351/0000703351-15-000048.txt,
169024,706688,AARON'S INC,8-K,2015-07-24,edgar/data/706688/0000706688-15-000156.txt,
169025,706688,AARON'S INC,8-K,2015-08-11,edgar/data/706688/0000706688-15-000162.txt,
169026,706688,AARON'S INC,8-K,2015-09-25,edgar/data/706688/0000706688-15-000172.txt,
171585,724606,PANERA BREAD CO,8-K,2015-07-21,edgar/data/724606/0001193125-15-258547.txt,
171586,724606,PANERA BREAD CO,8-K,2015-07-29,edgar/data/724606/0000724606-15-000024.txt,
171587,724606,PANERA BREAD CO,8-K,2015-08-10,edgar/data/724606/0000724606-15-000028.txt,
171588,724606,PANERA BREAD CO,8-K,2015-09-23,edgar/data/724606/0000724606-15-000030.txt,
172401,730263,THOR INDUSTRIES INC,8-K,2015-08-27,edgar/data/730263/0001144204-15-052366.txt,
172402,730263,THOR INDUSTRIES INC,8-K,2015-09-21,edgar/data/730263/0001144204-15-055764.txt,
172403,730263,THOR INDUSTRIES INC,8-K,2015-09-21,edgar/data/730263/0001144204-15-055768.txt,
175806,768835,BIG LOTS INC,8-K,2015-09-01,edgar/data/768835/0000768835-15-000056.txt,
175807,768835,BIG LOTS INC,8-K,2015-09-24,edgar/data/768835/0000768835-15-000062.txt,
178279,794170,TOLL BROTHERS INC,8-K,2015-08-25,edgar/data/794170/0000794170-15-000034.txt,
178453,795266,KB HOME,8-K,2015-07-21,edgar/data/795266/0000795266-15-000048.txt,
178454,795266,KB HOME,8-K,2015-08-11,edgar/data/795266/0000795266-15-000050.txt,
178455,795266,KB HOME,8-K,2015-09-24,edgar/data/795266/0000795266-15-000053.txt,
179115,800240,OFFICE DEPOT INC,8-K,2015-08-04,edgar/data/800240/0001193125-15-275640.txt,
179116,800240,OFFICE DEPOT INC,8-K,2015-08-13,edgar/data/800240/0001193125-15-290053.txt,
179117,800240,OFFICE DEPOT INC,8-K,2015-08-31,edgar/data/800240/0001193125-15-307165.txt,
179118,800240,OFFICE DEPOT INC,8-K,2015-09-25,edgar/data/800240/0001193125-15-328875.txt,
197899,906163,NVR INC,8-K,2015-07-21,edgar/data/906163/0001144204-15-043364.txt,
198676,910521,DECKERS OUTDOOR CORP,8-K,2015-07-02,edgar/data/910521/0000910521-15-000024.txt,
198677,910521,DECKERS OUTDOOR CORP,8-K,2015-07-30,edgar/data/910521/0001144204-15-045180.txt,
198678,910521,DECKERS OUTDOOR CORP,8-K,2015-09-16,edgar/data/910521/0000910521-15-000034.txt,
200299,916789,HELEN OF TROY LTD,8-K,2015-07-14,edgar/data/916789/0001104659-15-051070.txt,
200300,916789,HELEN OF TROY LTD,8-K,2015-08-07,edgar/data/916789/0001104659-15-057785.txt,
200301,916789,HELEN OF TROY LTD,8-K,2015-08-25,edgar/data/916789/0001104659-15-061612.txt,
200894,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-08-21,edgar/data/919012/0001193125-15-298981.txt,
205525,945841,POOL CORP,8-K,2015-07-23,edgar/data/945841/0000945841-15-000112.txt,
205526,945841,POOL CORP,8-K,2015-08-03,edgar/data/945841/0000945841-15-000116.txt,
2230,1008654,TUPPERWARE BRANDS CORP,8-K,2015-10-21,edgar/data/1008654/0001008654-15-000020.txt,
2231,1008654,TUPPERWARE BRANDS CORP,8-K,2015-11-17,edgar/data/1008654/0001008654-15-000026.txt,
13679,1062449,BUFFALO WILD WINGS INC,8-K,2015-10-28,edgar/data/1062449/0001062449-15-000038.txt,
13680,1062449,BUFFALO WILD WINGS INC,8-K,2015-11-23,edgar/data/1062449/0001062449-15-000044.txt,
