,CIK,Company Name,Form Type,Date Filed,Filename,Text
38501,1128928,FLOWERS FOODS INC,8-K,2013-04-10,edgar/data/1128928/0001193125-13-149250.txt,
38502,1128928,FLOWERS FOODS INC,8-K,2013-05-16,edgar/data/1128928/0001193125-13-223419.txt,
38503,1128928,FLOWERS FOODS INC,8-K,2013-05-28,edgar/data/1128928/0001193125-13-237319.txt,
200350,57515,LANCASTER COLONY CORP,8-K,2013-04-25,edgar/data/57515/0001193125-13-172119.txt,
200351,57515,LANCASTER COLONY CORP,8-K,2013-05-14,edgar/data/57515/0001193125-13-218716.txt,
237623,8868,AVON PRODUCTS INC,8-K,2013-04-08,edgar/data/8868/0000008868-13-000019.txt,
237624,8868,AVON PRODUCTS INC,8-K,2013-04-26,edgar/data/8868/0001193125-13-175526.txt,
237625,8868,AVON PRODUCTS INC,8-K,2013-04-30,edgar/data/8868/0000008868-13-000025.txt,
237626,8868,AVON PRODUCTS INC,8-K,2013-05-07,edgar/data/8868/0000008868-13-000033.txt,
252478,931336,DEAN FOODS CO,8-K,2013-05-01,edgar/data/931336/0001193125-13-192348.txt,
252479,931336,DEAN FOODS CO,8-K,2013-05-07,edgar/data/931336/0001193125-13-204765.txt,
252480,931336,DEAN FOODS CO,8-K,2013-05-09,edgar/data/931336/0001193125-13-209192.txt,
252481,931336,DEAN FOODS CO,8-K,2013-05-10,edgar/data/931336/0001193125-13-211906.txt,
252482,931336,DEAN FOODS CO,8-K,2013-05-20,edgar/data/931336/0001193125-13-227874.txt,
252483,931336,DEAN FOODS CO,8-K,2013-05-24,edgar/data/931336/0001193125-13-233693.txt,
252484,931336,DEAN FOODS CO,8-K,2013-05-30,edgar/data/931336/0001193125-13-241595.txt,
252485,931336,DEAN FOODS CO,8-K,2013-06-12,edgar/data/931336/0001193125-13-255322.txt,
257452,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2013-04-25,edgar/data/98677/0000098677-13-000006.txt,
257453,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2013-05-08,edgar/data/98677/0000098677-13-000009.txt,
5380,1020859,UNITED NATURAL FOODS INC,8-K,2013-09-12,edgar/data/1020859/0001020859-13-000076.txt,
22391,1096752,ENERGIZER HOLDINGS INC,8-K,2013-07-31,edgar/data/1096752/0001096752-13-000096.txt,
22392,1096752,ENERGIZER HOLDINGS INC,8-K,2013-07-31,edgar/data/1096752/0001096752-13-000100.txt,
29341,1128928,FLOWERS FOODS INC,8-K,2013-07-22,edgar/data/1128928/0001193125-13-297310.txt,
29342,1128928,FLOWERS FOODS INC,8-K,2013-08-13,edgar/data/1128928/0001193125-13-331833.txt,
29343,1128928,FLOWERS FOODS INC,8-K,2013-09-03,edgar/data/1128928/0001193125-13-355596.txt,
167946,57515,LANCASTER COLONY CORP,8-K,2013-08-21,edgar/data/57515/0001193125-13-341828.txt,
167947,57515,LANCASTER COLONY CORP,8-K,2013-08-22,edgar/data/57515/0001193125-13-342738.txt,
197853,8868,AVON PRODUCTS INC,8-K,2013-07-02,edgar/data/8868/0000008868-13-000049.txt,
197854,8868,AVON PRODUCTS INC,8-K,2013-08-01,edgar/data/8868/0000008868-13-000058.txt,
197855,8868,AVON PRODUCTS INC,8-K,2013-08-12,edgar/data/8868/0000008868-13-000064.txt,
209292,931336,DEAN FOODS CO,8-K,2013-07-08,edgar/data/931336/0001193125-13-284971.txt,
209293,931336,DEAN FOODS CO,8-K,2013-07-15,edgar/data/931336/0001193125-13-290660.txt,
209294,931336,DEAN FOODS CO,8-K,2013-07-31,edgar/data/931336/0001193125-13-312592.txt,
209295,931336,DEAN FOODS CO,8-K,2013-08-08,edgar/data/931336/0001193125-13-325615.txt,
209296,931336,DEAN FOODS CO,8-K,2013-08-15,edgar/data/931336/0001193125-13-335750.txt,
209297,931336,DEAN FOODS CO,8-K,2013-08-23,edgar/data/931336/0001193125-13-345412.txt,
212876,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2013-07-25,edgar/data/98677/0000098677-13-000011.txt,
5221,1020859,UNITED NATURAL FOODS INC,8-K,2013-10-22,edgar/data/1020859/0001020859-13-000204.txt,
5222,1020859,UNITED NATURAL FOODS INC,8-K,2013-12-03,edgar/data/1020859/0001020859-13-000223.txt,
5223,1020859,UNITED NATURAL FOODS INC,8-K,2013-12-23,edgar/data/1020859/0001020859-13-000240.txt,
22948,1096752,ENERGIZER HOLDINGS INC,8-K,2013-11-05,edgar/data/1096752/0001096752-13-000138.txt,
29826,1128928,FLOWERS FOODS INC,8-K,2013-11-07,edgar/data/1128928/0001193125-13-431470.txt,
171938,57515,LANCASTER COLONY CORP,8-K,2013-10-31,edgar/data/57515/0000057515-13-000057.txt,
171939,57515,LANCASTER COLONY CORP,8-K,2013-11-19,edgar/data/57515/0000057515-13-000070.txt,
201503,8868,AVON PRODUCTS INC,8-K,2013-10-31,edgar/data/8868/0000008868-13-000076.txt,
201504,8868,AVON PRODUCTS INC,8-K,2013-12-11,edgar/data/8868/0000008868-13-000082.txt,
201505,8868,AVON PRODUCTS INC,8-K,2013-12-18,edgar/data/8868/0000008868-13-000084.txt,
212204,931336,DEAN FOODS CO,8-K,2013-10-04,edgar/data/931336/0001193125-13-390969.txt,
212205,931336,DEAN FOODS CO,8-K,2013-11-12,edgar/data/931336/0001193125-13-437061.txt,
212206,931336,DEAN FOODS CO,8-K,2013-11-19,edgar/data/931336/0001193125-13-446293.txt,
216118,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2013-10-25,edgar/data/98677/0000098677-13-000013.txt,
7616,1020859,UNITED NATURAL FOODS INC,8-K,2014-03-10,edgar/data/1020859/0001020859-14-000013.txt,
35121,1096752,ENERGIZER HOLDINGS INC,8-K,2014-01-27,edgar/data/1096752/0001096752-14-000014.txt,
35122,1096752,ENERGIZER HOLDINGS INC,8-K,2014-01-29,edgar/data/1096752/0001096752-14-000016.txt,
35123,1096752,ENERGIZER HOLDINGS INC,8-K,2014-01-30,edgar/data/1096752/0001096752-14-000020.txt,
44507,1128928,FLOWERS FOODS INC,8-K,2014-02-06,edgar/data/1128928/0001193125-14-037869.txt,
44508,1128928,FLOWERS FOODS INC,8-K,2014-02-18,edgar/data/1128928/0001193125-14-056103.txt,
244547,57515,LANCASTER COLONY CORP,8-K,2014-01-30,edgar/data/57515/0000057515-14-000006.txt,
244548,57515,LANCASTER COLONY CORP,8-K,2014-01-31,edgar/data/57515/0000057515-14-000010.txt,
287660,8868,AVON PRODUCTS INC,8-K,2014-02-13,edgar/data/8868/0000008868-14-000005.txt,
305230,931336,DEAN FOODS CO,8-K,2014-02-11,edgar/data/931336/0001193125-14-044427.txt,
305231,931336,DEAN FOODS CO,8-K,2014-03-11,edgar/data/931336/0001193125-14-093409.txt,
311477,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2014-02-12,edgar/data/98677/0000098677-14-000002.txt,
6429,1020859,UNITED NATURAL FOODS INC,8-K,2014-05-28,edgar/data/1020859/0001020859-14-000029.txt,
6430,1020859,UNITED NATURAL FOODS INC,8-K,2014-06-10,edgar/data/1020859/0001020859-14-000038.txt,
6431,1020859,UNITED NATURAL FOODS INC,8-K,2014-06-18,edgar/data/1020859/0001020859-14-000047.txt,
27568,1096752,ENERGIZER HOLDINGS INC,8-K,2014-04-28,edgar/data/1096752/0001096752-14-000042.txt,
27569,1096752,ENERGIZER HOLDINGS INC,8-K,2014-04-30,edgar/data/1096752/0001096752-14-000044.txt,
27570,1096752,ENERGIZER HOLDINGS INC,8-K,2014-06-12,edgar/data/1096752/0001096752-14-000060.txt,
35338,1128928,FLOWERS FOODS INC,8-K,2014-05-15,edgar/data/1128928/0001193125-14-200115.txt,
35339,1128928,FLOWERS FOODS INC,8-K,2014-05-27,edgar/data/1128928/0001193125-14-212940.txt,
198607,57515,LANCASTER COLONY CORP,8-K,2014-05-01,edgar/data/57515/0000057515-14-000036.txt,
198608,57515,LANCASTER COLONY CORP,8-K,2014-06-19,edgar/data/57515/0001193125-14-241825.txt,
233352,8868,AVON PRODUCTS INC,8-K,2014-05-01,edgar/data/8868/0000008868-14-000022.txt,
233353,8868,AVON PRODUCTS INC,8-K,2014-05-12,edgar/data/8868/0000008868-14-000026.txt,
233354,8868,AVON PRODUCTS INC,8-K,2014-06-12,edgar/data/8868/0000008868-14-000033.txt,
233355,8868,AVON PRODUCTS INC,8-K,2014-06-23,edgar/data/8868/0000008868-14-000039.txt,
247493,931336,DEAN FOODS CO,8-K,2014-05-08,edgar/data/931336/0001193125-14-188848.txt,
247494,931336,DEAN FOODS CO,8-K,2014-05-20,edgar/data/931336/0001193125-14-206650.txt,
247495,931336,DEAN FOODS CO,8-K,2014-05-21,edgar/data/931336/0001193125-14-207267.txt,
247496,931336,DEAN FOODS CO,8-K,2014-06-16,edgar/data/931336/0001193125-14-236847.txt,
252219,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2014-04-24,edgar/data/98677/0000098677-14-000004.txt,
252220,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2014-05-06,edgar/data/98677/0000098677-14-000006.txt,
4942,1020859,UNITED NATURAL FOODS INC,8-K,2014-08-20,edgar/data/1020859/0001020859-14-000066.txt,
4943,1020859,UNITED NATURAL FOODS INC,8-K,2014-09-17,edgar/data/1020859/0001020859-14-000116.txt,
21070,1096752,ENERGIZER HOLDINGS INC,8-K,2014-07-29,edgar/data/1096752/0001096752-14-000079.txt,
21071,1096752,ENERGIZER HOLDINGS INC,8-K,2014-07-30,edgar/data/1096752/0001096752-14-000083.txt,
21072,1096752,ENERGIZER HOLDINGS INC,8-K,2014-08-14,edgar/data/1096752/0001096752-14-000092.txt,
21073,1096752,ENERGIZER HOLDINGS INC,8-K,2014-08-28,edgar/data/1096752/0001096752-14-000094.txt,
27692,1128928,FLOWERS FOODS INC,8-K,2014-07-15,edgar/data/1128928/0001193125-14-269166.txt,
27693,1128928,FLOWERS FOODS INC,8-K,2014-08-12,edgar/data/1128928/0001193125-14-305736.txt,
169100,57515,LANCASTER COLONY CORP,8-K,2014-08-19,edgar/data/57515/0000057515-14-000044.txt,
169101,57515,LANCASTER COLONY CORP,8-K,2014-08-21,edgar/data/57515/0000057515-14-000048.txt,
197440,8868,AVON PRODUCTS INC,8-K,2014-07-31,edgar/data/8868/0000008868-14-000051.txt,
197441,8868,AVON PRODUCTS INC,8-K,2014-09-08,edgar/data/8868/0000008868-14-000054.txt,
208662,931336,DEAN FOODS CO,8-K,2014-07-29,edgar/data/931336/0001193125-14-284794.txt,
208663,931336,DEAN FOODS CO,8-K,2014-08-11,edgar/data/931336/0001445305-14-003569.txt,
208664,931336,DEAN FOODS CO,8-K,2014-08-15,edgar/data/931336/0001193125-14-310856.txt,
208665,931336,DEAN FOODS CO,8-K,2014-09-08,edgar/data/931336/0001193125-14-335662.txt,
212221,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2014-07-25,edgar/data/98677/0000098677-14-000008.txt,
5083,1020859,UNITED NATURAL FOODS INC,8-K,2014-12-04,edgar/data/1020859/0001020859-14-000226.txt,
5084,1020859,UNITED NATURAL FOODS INC,8-K,2014-12-22,edgar/data/1020859/0001020859-14-000238.txt,
22176,1096752,ENERGIZER HOLDINGS INC,8-K,2014-11-03,edgar/data/1096752/0001096752-14-000113.txt,
22177,1096752,ENERGIZER HOLDINGS INC,8-K,2014-11-12,edgar/data/1096752/0001096752-14-000122.txt,
22178,1096752,ENERGIZER HOLDINGS INC,8-K,2014-11-14,edgar/data/1096752/0001096752-14-000134.txt,
28833,1128928,FLOWERS FOODS INC,8-K,2014-11-12,edgar/data/1128928/0001193125-14-407877.txt,
28834,1128928,FLOWERS FOODS INC,8-K,2014-11-24,edgar/data/1128928/0001193125-14-423581.txt,
178880,57515,LANCASTER COLONY CORP,8-K,2014-10-30,edgar/data/57515/0000057515-14-000054.txt,
178881,57515,LANCASTER COLONY CORP,8-K,2014-11-18,edgar/data/57515/0000057515-14-000058.txt,
205858,8868,AVON PRODUCTS INC,8-K,2014-10-17,edgar/data/8868/0000008868-14-000056.txt,
205859,8868,AVON PRODUCTS INC,8-K,2014-10-30,edgar/data/8868/0000008868-14-000063.txt,
205860,8868,AVON PRODUCTS INC,8-K,2014-11-18,edgar/data/8868/0000008868-14-000067.txt,
205861,8868,AVON PRODUCTS INC,8-K,2014-11-18,edgar/data/8868/0000008868-14-000068.txt,
205862,8868,AVON PRODUCTS INC,8-K,2014-12-17,edgar/data/8868/0000008868-14-000073.txt,
216665,931336,DEAN FOODS CO,8-K,2014-10-06,edgar/data/931336/0001193125-14-364660.txt,
216666,931336,DEAN FOODS CO,8-K,2014-11-10,edgar/data/931336/0000931336-14-000005.txt,
